"\mbox{Solve for } x \mbox{ in the equation } 2x + 5 = 9","x = 7","x = 2","x = -7","x = -2",2,"\mbox{Subtract 5 from both sides and then divide by 2 to solve for }x."
"\mbox{What is the simplified form of } (x + 3)(x + 5)","x^2 + 15","x^2 + 3x + 5","x^2 + 8x + 3","x^2 + 8x + 15",4,"\mbox{Use the distributive property to multiply the expressions.}"
"\mbox{Solve for } y \mbox{ in the equation } 2y - 4 = 10","y = 14","y = 5","y = 7","y = 3",3,"\mbox{Add 4 to both sides, then divide by 2 to solve for }y."
"\mbox{What is the solution to the equation } 3(x - 2) = 9","x = 8","x = -5","x = -8","x = 5",4,"\mbox{Distribute and then solve for }x."
"\mbox{Simplify the expression: } 4x - 2x + 5x - 7x","-6x","-10x","14x","10x",1,"\mbox{Combine like terms to simplify.}"
"\mbox{Factor the expression: } x^2 - 25","(x + 25)(x - 25)","(x + 5)(x - 5)","(x - 5)(x - 5)","(x^2 + 5)",2,"\mbox{Use the difference of squares formula to factor the expression.}"
"\mbox{What is the product of 8 and 7}","56","64","15","20",1,"\mbox{The product of 8 and 7 is }56."
"\mbox{Solve for } x \mbox{ in the equation } 6x + 2 = 32","x = 5","x = 4","x = 6","x = 7",1,"\mbox{Subtract 2 from both sides and then divide by 6 to solve for }x."
"\mbox{What is the y-coordinate when } x = 3 \mbox{ for the equation } y = 2x - 1","y = 7","y = 5","y = 1","y = -5",2,"\mbox{Substitute }x = 3 \mbox{ into the equation to find the y-coordinate.}"
"\mbox{Simplify: } 2(x + 4) - 3(2x - 1)","-x + 11","3x - 11","-x - 11","4x + 11",4,"\mbox{Distribute and combine like terms to simplify.}"
"\mbox{Solve for } x \mbox{ in the equation } 3x - 7 = 14","x = 7","x = 5","x = 6","x = 4",1,"\mbox{Add 7 to both sides, then divide by 3 to solve for }x."
"\mbox{What is the value of } -3^2","-9","9","-6","6",2,"\mbox{ }-3^2 \mbox{ is equal to }9."
"\mbox{Solve for } x \mbox{ in the equation } 4x + 3 = 15","x = 3","x = 5","x = 4","x = 2",1,"\mbox{Subtract 3 from both sides and then divide by 4 to solve for }x."
"\mbox{What is the value of } -2^3","-8","-6","8","6",3,"\mbox{ }-2^3 \mbox{ is equal to }8."
"\mbox{Solve for } x \mbox{ in the equation } 5x - 2 = 18","x = 5","x = 6","x = 4","x = 7",3,"\mbox{Add 2 to both sides, then divide by 5 to solve for }x."
"\mbox{What is the value of } (-4)^2","16","-16","8","-8",1,"\mbox{ }(-4)^2 \mbox{ is equal to }16."
"\mbox{Solve for } x \mbox{ in the equation } 2x + 7 = 21","x = 8","x = 6","x = 7","x = 5",3,"\mbox{Subtract 7 from both sides and then divide by 2 to solve for }x."
"\mbox{What is the value of } -5^2","-25","25","-10","10",2,"\mbox{ }-5^2 \mbox{ is equal to }-25."
"\mbox{Solve for } x \mbox{ in the equation } 6x - 3 = 15","x = 4","x = 5","x = 6","x = 3",4,"\mbox{Add 3 to both sides, then divide by 6 to solve for }x."
"\mbox{What is the value of } (-6)^2","36","-36","12","-12",1,"\mbox{ }(-6)^2 \mbox{ is equal to }36."