"Solve the equation: $2x + 5 = 9$","$x = 2$","$x = 7$","$x = -7$","$x = -2$",1,"Subtract 5 from both sides and then divide by 2 to solve for $x$."
"Find the solution to the inequality: $3x - 2 > 10$","$x < 4$","$x > 4$","$x \leq 4$","$x \geq 4$",2,"Add 2 to both sides and then divide by 3 to solve the inequality."
"What is the solution to the equation: $4(x - 3) = 20$?","$x = 5$","$x = 8$","$x = -5$","$x = -8$",1,"Distribute and then solve for $x$."
"Simplify: $2(3x - 1) - 3(2x + 2)$","$-2x - 5$","$8x - 4$","$-8x + 4$","$2x + 5$",3,"Distribute and combine like terms to simplify."
"What is the square root of 25?","$5$","$-5$","$625$","$-625$",1,"The square root of 25 is 5."
"Solve for $x$: $3x + 7 = 22$","$x = 5$","$x = 15$","$x = -5$","$x = -15$",1,"Subtract 7 from both sides and then divide by 3 to find the solution."
"Factor the expression: $x^2 - 7x + 10$","$(x - 5)(x - 2)$","$(x + 5)(x + 2)$","$(x - 5)(x + 2)$","$(x^2 + 7x + 10)$",1,"Factor the trinomial into $(x - 5)(x - 2)$."
"What is the value of $5^2$?","$25$","$10$","$125$","$50$",1,"$5^2$ is equal to 25."
"Find the solution to the equation: $3(x + 4) = 15$","$x = 3$","$x = 11$","$x = -3$","$x = -11$",1,"Distribute and then solve for $x$."
"Simplify: $4x + 3x - 2x$","$5x$","$12x$","$-5x$","$-12x$",1,"Combine like terms to simplify."
"What is the solution to the inequality: $2x - 6 < 10$","$x < 8$","$x > 8$","$x \leq 8$","$x \geq 8$",1,"Add 6 to both sides to solve the inequality."
"What is the value of $-2^3$?","$-8$","$8$","$-6$","$6$",1,"$-2^3$ is equal to $-8$."
"Solve for $x$: $2x + 1 = 9$","$x = 4$","$x = 5$","$x = -4$","$x = -5$",1,"Subtract 1 from both sides and then divide by 2 to find the solution."
"Factor the expression: $x^2 + 9x + 18$","$(x + 3)(x + 6)$","$(x - 3)(x - 6)$","$(x + 3)(x - 6)$","$(x^2 - 9x + 18)$",1,"Factor the trinomial into $(x + 3)(x + 6)$."
"What is the value of $-4^2$?","$-16$","$16$","$-8$","$8$",2,"$-4^2$ is equal to 16."
"What is the y-coordinate when $x = 2$ for the equation $y = -3x + 4$?","$y = 10$","$y = -10$","$y = 2$","$y = -2$",2,"Substitute $x = 2$ into the equation to find the y-coordinate."
"Simplify: $4(2x - 3) - 2(3x + 1)$","$-2x - 11$","$14x - 8$","$-14x + 8$","$2x + 11$",3,"Distribute and combine like terms to simplify."
"What is the solution to the equation: $5(x - 2) = 25$?","$x = 7$","$x = 8$","$x = -7$","$x = -8$",2,"Distribute and then solve for $x$."
"What is the product of 6 and 9?","$54$","$-54$","$15$","$-15$",1,"The product of 6 and 9 is 54."